Data,TSM-PS12(5),TSM-AS10(11),TSM-AS34(6),TSM-PS20(6),TSM-PS19(5),TSM-AS20(11),TSM-AS19(11),TSM-AS27(5),TSM-AS18(11),TSM-AS11(11),TSM-AS17(11),TSM-AS35(5),TSM-AS12(11),TSM-PS33(5),TSM-PS27(5),TSM-AS33(5),TSM-AS39(5),TSM-AS36(5),TSM-AS30(5),TSM-AS29(5),TSM-AS5(11),TSM-AS37(5),TSM-AS31(5),TSM-PS32(5),PRM1,PRM2,PRM3,PRM4,PRM5,PRM6,PRM7,PRM8,PRM9,PRM10,PRM11,PRM12,PRM13,PRM14,PRM15,PRM16,PRM17,PRM18,PRM19,PRM20,PRM21,PRM22,PRM23,PRM24
1984-10-01,23.838,23.5874,21.9999,22.6407,22.0653,21.2317,23.3084,21.0087,24.7047,23.7233,25.671,20.7273,26.65,19.6282,19.2011,20.3959,18.9896,20.3676,23.3109,23.5976,25.1777,20.5332,23.0495,21.4181,118.753,118.444,108.893,107.885,148.367,150.782,128.709,127.102,129.443,137.18,163.143,150.98,151.995,162.785,154.753,122.572,104.933,99.4506,168.799,196.374,175.739,92.8423,88.4757,102.116
1984-11-01,22.4368,24.8171,20.6521,20.5893,21.2398,22.2805,23.7964,20.0495,25.5548,25.7794,26.378,19.394,27.306,18.7768,18.0016,19.3405,17.9572,18.7905,22.0987,22.6141,26.1611,19.1674,21.6814,20.4518,72.5658,81.2873,98.8796,108.797,103.517,98.6871,82.4254,93.5296,124.614,121.151,100.237,95.8418,95.1752,112.016,133.447,131.253,96.3454,74.4451,108.584,130.49,127.028,93.0639,82.1636,99.1757
1984-12-01,21.076,25.984,19.4488,18.9002,20.2831,24.3269,25.9898,18.8496,27.1222,26.579,27.6545,17.9539,27.5366,17.9286,17.3735,18.183,16.8175,17.4717,20.9259,21.5328,26.8204,17.778,20.6408,19.5222,216.627,217.956,202.397,171.789,150.638,128.465,210.776,228.852,218.982,188.841,150.486,127.959,166.931,242.961,246.152,197.337,126.47,84.1953,170.986,281.683,295.773,209.213,144.842,109.826
1985-01-01,19.8982,27.2753,18.3942,18.1977,19.326,24.8718,26.6413,18.4537,28.1996,27.9464,28.9301,17.1993,28.403,16.8859,16.5691,17.6806,16.4145,16.9193,20.2568,20.7436,27.7279,17.0919,19.9119,18.7959,376.193,374.056,378.536,425.435,492.417,566.18,390.121,413.5,418.673,403.164,398.476,417.291,459.675,569.053,533.236,378.591,241.244,213.198,426.503,656.97,625.058,375.871,308.678,294.775
1985-02-01,19.1965,28.148,17.724,17.2183,18.8274,25.005,26.5522,18.465,28.0862,28.7782,28.7582,16.602,28.7328,17.0347,16.3821,17.7265,16.1244,16.4692,19.6726,19.8503,28.8904,16.4948,19.5075,18.858,253.501,309.391,421.32,468.396,427.754,457.845,279.674,328.743,431.118,418.471,336.717,329.463,400.653,527.431,557.39,436.537,247.415,174.724,379.435,622.445,615.754,389.574,277.955,241.549
1985-03-01,19.2429,27.8318,17.6101,16.9071,18.7314,24.5076,25.9681,18.6231,27.2562,28.3726,27.8795,17.4744,28.6426,17.6067,17.3565,17.7857,16.5037,17.225,20.3624,20.6733,28.6748,17.1975,19.8135,18.9832,338.622,337.884,344.108,363.579,410.284,379.511,357.391,382.305,369.353,358.006,377.062,361.943,395.561,525.273,481.123,341.954,322.191,283.63,430.532,630.286,596.918,346.665,310.074,276.517
1985-04-01,20.4629,27.2425,18.7103,17.7765,19.4965,23.4052,24.9613,18.8714,26.2739,27.415,27.1313,18.1702,27.6937,18.6507,18.4716,18.4242,17.9201,18.1176,21.4046,21.6196,27.6253,18.3969,21.0439,19.9496,259.946,249.837,251.144,306.687,403.409,423.855,275.074,275.098,262.713,314.46,398.725,403.407,346.242,436.296,330.555,332.104,406.062,375.884,386.454,599.14,541.311,364.908,355.658,324.848
1985-05-01,22.142,26.1462,19.2825,19.3658,20.3559,22.5206,24.2003,20.1002,25.5263,26.2065,26.455,19.3943,27.1943,18.9387,19.6439,19.9288,19.671,19.8116,23.1124,22.6446,25.7518,20.1966,22.6456,20.6983,164.008,166.564,167.35,166.702,152.4,120.716,156.366,154.199,153.036,159.574,151.372,136.47,128.532,123.978,147.212,173.415,204.568,172.659,97.3434,98.0852,116.541,150.301,180.472,176.745
1985-06-01,23.4638,24.8682,20.7828,20.8743,22.0391,21.2307,23.0895,21.7839,24.596,24.5984,25.6746,20.265,26.3268,21.5434,21.6493,21.3781,20.7373,20.7306,24.0775,23.4962,24.312,21.2844,24.342,23.7467,25.6582,39.7439,60.9482,53.3477,55.6946,83.368,23.6136,20.6711,24.7222,26.6687,34.2063,53.8197,42.6248,35.8272,28.5651,18.027,32.7525,46.8842,46.2919,47.6061,44.8596,32.4926,30.4912,43.4968
1985-07-01,24.7284,24.2708,21.4363,22.6113,22.9914,20.8693,22.4455,22.7891,24.026,23.7647,24.9629,21.2161,25.764,21.9084,22.2246,22.0808,20.8224,21.3429,25.0116,24.9471,24.0736,21.6244,24.6271,23.8764,18.9953,17.1065,11.4489,5.95138,4.29428,2.46074,17.4968,12.8984,6.05066,2.48312,1.64132,1.35654,11.2849,9.5349,6.48777,3.84219,3.397,2.59711,4.43561,10.245,13.0926,11.2552,6.9062,5.10983
