,TSM-PS12(5),TSM-AS10(11),TSM-AS34(6),TSM-PS20(6),TSM-PS19(5),PRM1
126,74.0489,71.32820000000001,71.3168,67.83489999999999,67.3086,46.83276
127,70.3255,71.5456,69.6906,64.681,63.6288,154.1523
128,59.9273,80.5233,59.0487,52.789699999999996,56.237899999999996,425.21
129,61.275499999999994,81.63,59.53530000000001,53.675200000000004,57.561400000000006,329.9749
130,73.5292,71.63,70.9486,65.38210000000001,66.8192,51.36055
131,73.4416,70.9464,68.7306,68.6327,66.5943,78.15556000000001
132,61.8739,80.44980000000001,59.027100000000004,53.8454,58.2448,727.143
133,67.179,81.5158,57.9227,58.091300000000004,62.0128,331.8021
134,78.3232,70.6023,71.3409,71.8029,71.06620000000001,41.719719999999995
135,69.735,73.9784,63.592,64.30019999999999,64.7036,157.0745
136,60.4779,84.1096,54.4423,54.034099999999995,57.8906,814.689
137,69.13499999999999,78.5974,59.464600000000004,61.1832,63.9648,423.4549
138,80.56110000000001,70.68,73.86449999999999,74.5472,73.4268,71.86375000000001
139,68.43299999999999,75.87029999999999,64.0555,64.01729999999999,64.3519,280.14369999999997
140,57.465199999999996,84.0837,57.4631,51.8183,56.27760000000001,868.3820000000001
141,61.719899999999996,79.04169999999999,60.871900000000004,54.3237,58.1362,391.35439999999994
142,75.2748,70.97390000000001,70.5173,69.24940000000001,67.6238,50.79378
143,65.44069999999999,74.571,65.2441,60.9908,61.5489,356.1892
144,56.8116,82.0339,55.8108,50.8229,55.207899999999995,440.576
145,65.5572,78.5297,61.208,57.4462,61.467299999999994,397.817
146,77.2076,70.7983,72.2381,70.6147,69.556,50.3899
147,65.8756,75.4873,65.03,61.2702,60.7038,118.16409999999999
148,56.87429999999999,83.8111,55.3896,50.164,54.59700000000001,657.4470000000001
149,64.3942,77.8038,60.5403,57.5265,59.8232,410.7777
150,78.1212,69.84989999999999,68.9521,71.9167,70.50659999999999,52.46016
