Data,TSM-PS12(5),TSM-AS10(11),TSM-AS34(6),TSM-PS20(6),TSM-PS19(5),PRM1
1992-11-01,23.2226,24.0864,21.2135,21.7612,21.3877,67.3881
1992-12-01,21.1417,25.3582,20.0576,20.0521,20.0067,132.902
1993-01-01,19.7482,27.0061,19.0097,18.3385,19.2956,296.996
1993-02-01,19.4326,27.4067,18.0971,17.5534,18.808,262.648
1993-03-01,19.7585,26.9008,18.1669,17.2877,18.9035,221.683
1993-04-01,20.2629,25.8598,18.2968,18.024,19.0913,185.157
1993-05-01,21.7169,24.5439,19.358,18.9714,20.5504,121.707
1993-06-01,23.9303,23.4072,20.4948,20.9848,22.7471,48.8498
1993-07-01,25.5669,22.3079,22.6211,22.9345,23.7102,17.2527
1993-08-01,25.9669,22.2487,23.6481,24.0905,24.0959,72.1301
1993-09-01,25.4446,22.5639,23.1994,23.5399,23.7356,64.6212
1993-10-01,24.0356,23.0329,22.6699,22.8003,22.5507,70.2101
1993-11-01,22.2598,23.6326,21.0437,21.0017,20.9136,160.156
1993-12-01,20.4893,25.1605,19.3197,18.9663,19.5089,248.486
1994-01-01,19.5614,26.1522,18.433,17.4847,18.7948,340.516
1994-02-01,19.4705,27.0507,17.6718,17.2792,18.7579,463.146
1994-03-01,19.6772,27.5994,17.3887,17.3054,18.6662,249.242
1994-04-01,20.1042,26.9712,18.6611,17.8564,18.8836,225.337
1994-05-01,21.6709,25.9377,20.0811,18.6569,19.6825,146.974
1994-06-01,23.5683,24.2993,21.5378,20.115,21.3889,76.8049
1994-07-01,25.0253,23.196,22.2522,22.6227,22.1217,5.64954
1994-08-01,25.6551,23.5434,22.9092,22.8538,22.9064,31.2124
1994-09-01,25.2239,23.662,23.0263,23.3228,22.8325,32.989
1994-10-01,23.6569,24.7499,21.5823,22.5634,21.9557,129.207
1994-11-01,21.9006,25.2304,20.8385,20.745,20.8833,100.148
1994-12-01,20.1934,26.0453,20.042,19.0188,19.5214,114.66
1995-01-01,19.0202,27.046,18.5066,17.8252,18.6147,212.546
1995-02-01,19.0678,28.04,17.8166,17.0236,18.6732,449.203
1995-03-01,19.4397,28.1516,17.9746,17.4857,18.9936,245.174
1995-04-01,20.2594,27.058,18.7273,18.2885,19.3952,223.716
1995-05-01,21.7439,25.7081,19.4983,19.2677,20.3462,277.9
1995-06-01,23.9322,23.9354,21.6166,20.7389,22.085,19.1384
1995-07-01,25.1954,23.1848,22.5213,23.0153,22.7558,21.0772
1995-08-01,25.6999,22.6952,23.0002,23.8234,23.1432,2.09292
1995-09-01,25.0357,22.9921,22.7441,23.2354,22.9422,33.1901
1995-10-01,23.4688,23.9041,21.5631,22.3804,21.9938,26.7525
1995-11-01,22.1931,24.6758,20.0569,20.8096,20.9087,152.855
1995-12-01,20.748,25.9536,18.6976,19.6228,19.866,227.136
1996-01-01,19.5516,27.4764,18.0129,18.2586,18.996,311.637
1996-02-01,19.3287,28.3319,17.8737,16.989,18.8704,161.748
1996-03-01,19.0322,28.3634,18.2253,17.3662,18.5645,388.683
1996-04-01,20.0827,27.7525,18.316,17.2633,19.3626,231.235
1996-05-01,21.7085,26.6373,20.1111,19.2313,20.7287,191.131
1996-06-01,23.5328,25.0494,21.5942,20.818,21.9231,8.36255
1996-07-01,25.2204,23.6928,22.5106,22.5041,22.957,96.8304
1996-08-01,25.7593,23.2711,23.4216,23.6187,23.3546,42.2302
1996-09-01,24.7679,23.2874,23.4654,23.7051,22.642,9.44565
1996-10-01,23.3029,23.9555,22.5283,22.0295,21.7916,69.9665
1996-11-01,21.461,24.3882,20.7982,20.1966,20.5605,164.199
1996-12-01,19.7934,25.7341,19.5659,18.2844,19.633,164.109
1997-01-01,19.4655,27.1733,17.9668,17.25,19.3258,434.002
1997-02-01,18.7615,27.8852,17.7034,17.3347,18.8356,255.546
1997-03-01,18.8862,28.211,17.1643,17.1614,18.6888,614.713
1997-04-01,19.6325,27.4528,18.5708,18.0104,18.9951,109.105
1997-05-01,21.0228,26.725,19.9714,18.7812,19.9974,48.3323
1997-06-01,23.4396,25.3815,21.7542,20.5619,21.7943,1.71743
1997-07-01,25.3807,24.1005,23.4886,22.8077,23.6349,11.6842
1997-08-01,26.1034,23.4681,23.9471,24.4105,24.1096,33.5405
1997-09-01,25.5861,23.4148,23.8423,24.2968,23.6852,10.5608
1997-10-01,24.9381,23.7257,22.3621,23.2756,23.0876,67.0026
1997-11-01,24.1228,24.1879,20.6827,22.4411,22.4259,10.5395
1997-12-01,22.9976,25.0033,19.0024,21.6488,20.9165,162.226
1998-01-01,22.2839,26.2801,18.3223,20.1714,20.3587,247.879
1998-02-01,22.1551,26.9857,18.1971,19.4497,20.4162,302.932
1998-03-01,22.0763,26.8014,17.8669,19.3175,20.2502,249.275
1998-04-01,22.9492,25.9057,18.2992,19.4382,20.7094,138.757
1998-05-01,24.1482,24.684,19.5408,20.41,21.3179,131.776
1998-06-01,25.765,23.5268,20.5657,22.0322,22.2368,5.91769
1998-07-01,26.632,22.8223,22.1646,23.7684,23.0845,18.9616
1998-08-01,26.9611,22.8093,23.1946,24.7455,23.6489,20.5331
1998-09-01,26.5767,23.6671,23.0452,24.5977,23.4211,45.2362
1998-10-01,25.7519,24.606,21.4195,23.5844,23.0443,26.2912
1998-11-01,23.9524,25.6467,20.4982,22.1356,21.7713,105.049
1998-12-01,22.7676,26.6723,19.1384,20.623,21.0586,159.741
1999-01-01,21.5078,27.7429,18.5524,19.5328,20.239,182.045
1999-02-01,20.4307,28.3809,18.0141,18.3636,19.4866,314.866
1999-03-01,20.2258,28.3166,17.9541,17.8432,19.2691,412.547
1999-04-01,20.6067,27.363,18.5449,18.0126,19.3264,189.142
1999-05-01,22.1236,25.9637,19.417,19.037,20.2368,317.993
1999-06-01,23.761,24.7957,21.2413,21.0359,21.5125,7.53392
1999-07-01,25.1885,23.5273,22.5394,22.7377,22.6638,4.83571
1999-08-01,25.7508,23.2506,23.0719,23.8461,23.2842,14.0094
1999-09-01,25.2008,23.1625,23.8431,23.6919,22.8413,31.7507
1999-10-01,23.7045,24.1381,21.5976,22.3257,21.8332,52.3609
1999-11-01,22.0002,24.5322,20.1469,20.7184,20.5465,123.093
1999-12-01,20.3976,25.5142,18.469,19.132,19.646,180.798
2000-01-01,19.4738,26.895,17.5935,17.9416,18.8325,306.512
2000-02-01,18.9693,27.7436,17.3748,17.2296,18.6919,370.731
2000-03-01,19.3657,27.9177,17.5336,17.4062,18.9211,371.163
2000-04-01,19.9166,27.283,18.0697,18.0503,18.9503,308.751
2000-05-01,21.3088,25.9685,19.5046,18.8804,19.8422,122.705
2000-06-01,23.2309,25.0794,21.1285,20.4327,21.3522,143.948
2000-07-01,25.15,23.9911,22.9031,22.2036,23.0689,104.817
2000-08-01,25.6224,23.2643,23.1635,23.7078,23.4683,20.4463
2000-09-01,25.1678,23.4893,23.2618,23.5465,22.9967,81.9641
2000-10-01,23.723,23.8099,22.3743,22.477,21.8401,44.6007
2000-11-01,21.7459,24.798,21.1289,20.8082,20.6026,97.2977
2000-12-01,19.9327,26.0101,19.4001,19.2136,19.3615,176.873
2001-01-01,19.3144,27.2591,17.9413,17.7115,19.1487,413.975
2001-02-01,19.2036,27.8921,17.4991,17.1288,19.2359,217.895
2001-03-01,19.1531,27.8842,17.6671,17.6554,19.013,368.948
2001-04-01,19.7387,27.2466,17.8906,18.0546,19.2825,245.256
2001-05-01,21.3713,25.8584,19.4744,18.6449,20.018,188.246
2001-06-01,23.4548,24.361,21.4415,20.732,21.7885,110.69
2001-07-01,25.4232,23.6049,23.154,22.7949,23.1475,28.4942
2001-08-01,26.5591,23.1467,24.4414,24.1396,23.9529,3.48907
2001-09-01,25.8486,23.2938,24.7862,24.29,23.6034,31.6118
2001-10-01,23.82,23.6686,22.6802,22.9186,22.2064,79.338
2001-11-01,21.6823,24.5121,20.6261,20.5768,20.9581,50.5169
2001-12-01,20.0565,25.4905,19.8101,18.5753,19.7232,152.22
2002-01-01,18.9637,26.6733,18.8376,17.3433,19.0593,345.645
2002-02-01,18.44,27.6689,18.6601,16.6228,18.6026,250.694
2002-03-01,18.502,27.7015,19.1777,16.4174,18.6895,291.248
2002-04-01,19.3408,27.2192,19.291,17.2821,19.1745,423.298
2002-05-01,20.5543,26.1673,20.4983,18.418,19.8003,231.66
2002-06-01,23.1946,24.7324,21.3863,20.0805,21.7478,97.2744
2002-07-01,25.0605,23.8084,23.4,22.6686,22.6699,19.1844
2002-08-01,26.0491,23.4433,23.4351,23.7179,23.676,13.5831
2002-09-01,25.2419,23.5895,23.9304,24.4504,23.1567,44.9784
2002-10-01,24.2649,24.0226,22.698,22.4126,22.4054,89.6031
2002-11-01,22.6065,24.4822,21.427,21.3277,21.0292,69.5804
2002-12-01,20.7792,25.4939,20.6588,19.1756,19.7164,185.998
2003-01-01,19.4216,26.3699,19.2322,17.6093,18.737,235.411
2003-02-01,18.9266,27.6052,18.9908,16.9034,18.1995,490.707
2003-03-01,19.2852,27.7612,18.509,16.9148,18.5588,364.361
2003-04-01,19.9928,27.2862,19.6551,17.7365,19.0153,381.535
2003-05-01,21.3525,26.2057,20.4228,18.9071,20.0268,186.156
2003-06-01,22.8004,24.6569,21.4668,20.6464,21.101,151.895
2003-07-01,24.9355,23.5513,22.924,22.2385,22.4141,71.7481
2003-08-01,25.4002,23.0439,24.2497,23.7159,22.6753,104.422
2003-09-01,25.0771,23.3786,24.6609,23.1074,22.6765,134.202
2003-10-01,23.2965,23.6226,22.4385,22.1298,21.7483,41.1153
2003-11-01,21.9819,24.6949,21.0371,20.4885,21.004,65.1593
2003-12-01,20.6528,25.8679,19.7152,19.2351,20.0026,86.2592
2004-01-01,19.6102,27.1751,18.9472,17.8248,19.0368,281.832
2004-02-01,18.8502,28.2801,18.4715,16.9748,18.4029,486.938
2004-03-01,19.1349,27.8965,17.7456,16.543,18.5941,246.921
2004-04-01,20.0217,27.0498,18.8523,17.6951,19.1958,179.626
2004-05-01,21.6356,25.6797,19.8055,19.4652,20.0255,66.0489
2004-06-01,23.7513,24.7196,20.402,21.045,21.4783,44.5186
2004-07-01,25.2488,23.7515,22.2231,22.3583,22.8883,49.19
2004-08-01,25.8288,23.3334,23.2127,23.7858,23.2281,33.8163
2004-09-01,25.3605,23.4162,22.9593,23.3929,23.1018,25.9735
2004-10-01,23.5337,24.0125,22.5097,22.7288,21.8342,41.5733
2004-11-01,21.4456,25.0676,20.6953,20.724,20.4136,26.777
2004-12-01,20.217,26.1069,19.0867,18.4028,19.4886,176.42
2005-01-01,19.0256,27.0859,18.1424,17.4594,18.6867,228.845
